Category,Feature,Status,Comments,Reference
"API","cy.off","Implemented","Stop listening. Removing a delegated handler takes the same ( events, predicate, handler ) triple it was added with — predicates compare by function identity, so the predicate must be the same function object, not an equivalent one.","src/core.mts:1507"
"API","cy.offRender","Replaced","Use cy.off('render', handler).","MIGRATING.md"
"API","cy.on","Implemented","Listen for events on the core.","src/core.mts:1418"
"API","cy.once","Implemented","Alias of cy.one. Like on(), but the handler runs at most once and then removes itself.","src/core.mts:1460"
"API","cy.one","Implemented","Like on(), but the handler runs at most once and then removes itself.","src/core.mts:1460"
"API","cy.onRender","Replaced","Use cy.on('render', handler).","MIGRATING.md"
"API","cy.options","Implemented","The options the instance was constructed with.","src/core.mts:2777"
"API","cy.pan","Implemented","Get the pan offset, or set it. Setting is a no-op while panningEnabled() is false.","src/core.mts:1628"
"API","cy.panBy","Implemented","Shift the pan by a delta. A no-op while panningEnabled() is false.","src/core.mts:1646"
"API","cy.panningEnabled","Implemented","Get or set whether panning is allowed at all — programmatic pan() included. Use userPanningEnabled() to block only the gesture.","src/core.mts:2347"
"API","cy.pick","Implemented","Async GPU pick at a rendered (CSS px) position; resolves with the element under the point or null (always null when headless).","src/core.mts:2013"
"API","cy.pickNode","Planned","Scoped synchronous public node pick; not currently exposed.","plan/rounds/2026-08-14-06-rnd0075-plan-the-dx-polish-bundle.md"
"API","cy.png","Implemented","Export the rendered graph as a PNG. Async — the pixels live on the GPU (offscreen render + readback), unlike v3's synchronous base64 form; every output form resolves through the returned promise. Options as in v3: bg, full, scale or maxWidth/maxHeight, output ('base64uri' default | 'base64' | 'blob'; 'blob-promise' is an accepted alias of 'blob'). Headless instances reject — there is no renderer to export from.","src/core.mts:2101"
"API","cy.pointerCursors","Implemented","Get or set whether the canvas writes CSS cursors for the gesture affordances (round 89): grab over a draggable node and grabbing while it or the background is being dragged, pointer over any other interactive element, crosshair while box-selecting.","src/core.mts:2501"
"API","cy.pon","Implemented","Alias of cy.promiseOn. Resolve once the next matching event fires — the promise form of one().","src/core.mts:1586"
"API","cy.promiseOn","Implemented","Resolve once the next matching event fires — the promise form of one().","src/core.mts:1586"
"API","cy.ready","Partial","Promise for renderer readiness, rather than the v3 callback method. Rejects if adapter acquisition fails.","src/core.mts:169"
"API","cy.remove","Implemented","Remove elements from the graph. Removing a node removes its connected edges, and removing a compound parent removes its descendants. Equivalent to eles.remove().","src/core.mts:1068"
"API","cy.removeAllListeners","Implemented","Remove every listener on the core, including element-bound and delegated ones.","src/core.mts:1549"
"API","cy.removeAttr","Implemented","Alias of cy.removeData. Delete graph-level data keys. Emits data when anything was removed.","src/core.mts:2201"
"API","cy.removeData","Implemented","Delete graph-level data keys. Emits data when anything was removed.","src/core.mts:2201"
"API","cy.removeListener","Implemented","Alias of cy.off. Stop listening. Removing a delegated handler takes the same ( events, predicate, handler ) triple it was added with — predicates compare by function identity, so the predicate must be the same function object, not an equivalent one.","src/core.mts:1507"
"API","cy.removeScratch","Implemented","Delete graph-level scratch keys.","src/core.mts:2230"
"API","cy.renderedExtent","Implemented","The rendered (on-screen) viewport rectangle.","src/core.mts:1855"
"API","cy.renderer","Excluded","Internal implementation hook, excluded from the supported public API. Use cy.stats() for the public frame-statistics snapshot.","MIGRATING.md"
"API","cy.renderTo","Excluded","Drawing into an external canvas is not supported by the WebGPU renderer.","MIGRATING.md"
"API","cy.reset","Implemented","Reset the viewport to zoom 1, pan (0, 0).","src/core.mts:1953"
"API","cy.resize","Implemented","Re-measure the container and redraw (no-op when headless).","src/core.mts:2078"
"API","cy.scratch","Implemented","Graph-level scratchpad — like data(), but for transient state that is never exported and never emits. Namespace your keys (an extension convention: '_myExtension').","src/core.mts:2218"
"API","cy.selectionType","Implemented","How user selection composes: 'single' (a tap or box replaces the selection) or 'additive' (taps toggle and boxes add, as if a multiple-select key were always held).","src/core.mts:2525"
"API","cy.serialize","Implemented","Export the live graph as the binary wire format (the buffer options.elements/add() accept directly): the columnar counterpart of json(). Carries ids, positions, selection state, the data() sidecar and — since round 39.2 — graph-level data(); style, viewport and scratch are not part of the wire.","src/core.mts:2798"
"API","cy.size","Implemented","Rendered dimensions as { width, height }.","src/core.mts:1860"
"API","cy.startBatch","Implemented","Open a batch: defer style application until the matching endBatch(). Pairs nest — only the outermost endBatch() flushes. Prefer batch( fn ), which cannot leak a depth on an exception.","src/core.mts:573"
"API","cy.stats","Implemented","The renderer's frame statistics, or null when headless. The snapshot carries the frame timings, cache hit rates and pass counters — note that cpuFrameMs is encode/submit cost only (submission is fire-and-forget), so reconcile fps against gpuFrameMs.","src/core.mts:2073"
"API","cy.stop","Implemented","Stop every running viewport animation (round 21: no queue — the v3 clearQueue argument is gone).","src/core.mts:1820"
"API","cy.style","Partial","Get or replace the grouped declarative stylesheet. Selector blocks, CSS strings and functions are excluded; replacing the sheet also replaces bypasses.","src/core.mts:390"
"API","cy.styleEnabled","Implemented","Always true: v4 has no style-disabled mode, since the columnar model derives geometry from stored style channels rather than treating style as an optional layer. Kept so v3 code that checks it works.","src/core.mts:2720"
"API","cy.svg","Planned","Promise-based vector export is scoped in round 77; no current public method.","plan/rounds/2026-08-14-08-rnd0077-plan-svg-vector-export.md"
"API","cy.tapholdDuration","Implemented","Unmoved-press duration before 'taphold' fires, ms (default 500 — v3's constant, configurable in v4).","src/core.mts:2655"
"API","cy.touchTapThreshold","Implemented","Css px a touch press may move and still count as a tap (v3 parity; default 8).","src/core.mts:2631"
"API","cy.trigger","Implemented","Alias of cy.emit. Emit an event on the core.","src/core.mts:1570"
"API","cy.unbind","Replaced","Use cy.off(); legacy listener aliases were removed.","MIGRATING.md"
"API","cy.unlisten","Replaced","Use cy.off(); legacy listener aliases were removed.","MIGRATING.md"
"API","cy.unmount","Implemented","Detach the renderer: the instance becomes headless (the model is CPU-canonical, so nothing is lost). No-op when already headless.","src/core.mts:2943"
"API","cy.userPanningEnabled","Implemented","Get or set whether the user may pan by dragging. Programmatic pan() is unaffected.","src/core.mts:2364"
"API","cy.userZoomingEnabled","Implemented","Get or set whether the user may zoom by wheel or pinch. Programmatic zoom() is unaffected.","src/core.mts:2398"
"API","cy.viewport","Implemented","Set zoom and/or pan together, emitting once.","src/core.mts:1935"
"API","cy.wheelSensitivity","Implemented","Wheel-zoom sensitivity: a multiplier on the zoom-per-wheel-tick exponent (v3 parity; default 1). Non-default values warn once per instance, as v3 does — a custom sensitivity tuned on one mouse/OS zooms unnaturally on others.","src/core.mts:2576"
"API","cy.width","Implemented","The rendered width in CSS px. Headless instances report the configured headlessWidth (default 800), so viewport maths works without a DOM.","src/core.mts:3070"
"API","cy.window","Implemented","The window this instance renders into, or null when there is no DOM (Node). v3 parity, for extensions that need the hosting realm.","src/core.mts:2764"
"API","cy.zoom","Implemented","Get the zoom level, or set it. Setting is a no-op while zoomingEnabled() is false, and the level is clamped to zoomRange().","src/core.mts:1609"
"API","cy.zoomingEnabled","Implemented","Get or set whether zooming is allowed at all — programmatic zoom() included. Use userZoomingEnabled() to block only the gesture.","src/core.mts:2381"
"API","cy.zoomRange","Implemented","Set both zoom bounds; accepts (min, max) or { min, max }.","src/core.mts:1909"
"API","cytoscape","Implemented","Create an instance from definitions or columnar data. Rendering requires WebGPU; omit container for headless use. Unknown constructor options are ignored at runtime and checked by TypeScript.","src/index.mts:60"
"API","cytoscape.CancelledError","Implemented","The rejection a cancelled run carries (round 128): an async algorithm whose handle's cancel() was called, a layout's promise() after layout.cancel(), or either when cy.destroy() ran while the run was in flight. A factory static so a .catch can test instanceof; error.name is 'CancelledError' for a check without the class.","src/algorithms/cancel.mts"
"API","cytoscape.deserializeElements","Implemented","Deserialize a serializeElements buffer (or a view over one) back into the columnar elements form. Numeric columns are zero-copy views into the given buffer; a misaligned view is copied once to realign.","src/wire.mts:277"
"API","cytoscape.serializeElements","Implemented","Serialize elements (definition form or columnar form) into one transferable/fetchable ArrayBuffer. deserializeElements (or passing the buffer straight to options.elements/cy.add()) reverses it.","src/wire.mts:123"
"API","cytoscape.stylesheet","Replaced","Supply a grouped declarative stylesheet to cy.style() or the constructor. The chainable stylesheet builder was removed.","MIGRATING.md"
"API","cytoscape.toColumnarElements","Partial","Converts definitions to a self-contained columnar payload. Per-element locked, grabbable and pannable overrides are not carried by this conversion.","src/columnar.mts:91"
"API","cytoscape.use","Replaced","Pass a layout implementation directly through the registry-free layout contract. The v3 extension registry is absent.","MIGRATING.md"
"API","cytoscape.warnings","Excluded","No warning toggle: invalid input throws and recoverable conditions warn on the console.","MIGRATING.md"
"API","eles.$id","Replaced","Use eles.getElementById(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","eles.abscomp","Implemented","Alias of eles.absoluteComplement. All elements of the graph not in this collection.","src/collection.mts:1423"
"API","eles.absoluteComplement","Implemented","All elements of the graph not in this collection.","src/collection.mts:1423"
"API","eles.active","Implemented","Whether the first element is in the transient pressed (""active"") state.","src/collection.mts:3797"
"API","eles.add","Implemented","Alias of eles.union. The union of the two collections, deduped.","src/collection.mts:1191"
"API","eles.addClass","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.addListener","Implemented","Alias of eles.on. Listen for events on each element of this collection. The handler is bound per element, and keeps firing across slot compaction — listeners repair with their elements rather than going stale.","src/collection.mts:6295"
"API","eles.affinityPropagation","Implemented","Affinity propagation, which picks exemplars by message passing and so needs no target cluster count.","src/collection.mts:6071"
"API","eles.allAre","Implemented","Whether every element matches the criterion.","src/collection.mts:1156"
"API","eles.allAreNeighbors","Implemented","Whether every element of other is in this collection's neighborhood.","src/collection.mts:1139"
"API","eles.allAreNeighbours","Implemented","Alias of eles.allAreNeighbors. Whether every element of other is in this collection's neighborhood.","src/collection.mts:1139"
"API","eles.ancestors","Implemented","Alias of eles.parents. All ancestors, level by level: every nearest parent first, then the grandparents, and so on (v3's iterated-parent() order).","src/collection.mts:4469"
"API","eles.and","Implemented","Alias of eles.intersection. The elements present in both collections.","src/collection.mts:1229"
"API","eles.animate","Implemented","Animate these elements' style and/or position to explicit targets over duration ms, easing the normalized time.","src/collection.mts:1673"
"API","eles.animated","Implemented","True when any of these elements has a running animation.","src/collection.mts:1747"
"API","eles.animation","Implemented","Build an animation for these elements without starting it.","src/collection.mts:1701"
"API","eles.anySame","Implemented","Whether the two collections share at least one element.","src/collection.mts:1082"
"API","eles.ap","Implemented","Alias of eles.affinityPropagation. Affinity propagation, which picks exemplars by message passing and so needs no target cluster count.","src/collection.mts:6071"
"API","eles.aStar","Implemented","A shortest path between two nodes.","src/collection.mts:5573"
"API","eles.attr","Implemented","Alias of eles.data. data() over the sidecar columns. id (and source/target on edges) are first-class and immutable — reading them works, writing them throws. Setters apply to every element in the collection and emit data per element; a write refreshes data-mapped labels. The whole-object read returns a built snapshot, not the store's internals — and the same snapshot until a data write (or a reparent/re-point) invalidates it, so mutating it never corrupts the store but is visible to the mutator until the next write (v3 hands out its live internal object here, where mutation corrupts the actual store — v4's exposure is strictly narrower).","src/collection.mts:2275"
"API","eles.bb","Replaced","Use eles.boundingBox(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","eles.bc","Implemented","Alias of eles.betweennessCentrality. Betweenness centrality — how often each node lies on shortest paths between other pairs. Async (round 65): returns a promise, and executor ('cpu' | 'gpu' | 'workers' | 'auto', default 'auto') picks where the Brandes sweep runs. Weighted runs have no GPU path: 'auto' takes the worker pool (round 74; f64-tight to 'cpu', bit-stable across pool sizes) from 128 nodes and an explicit 'gpu' rejects; unweighted runs keep the GPU first, then the pool from 256.","src/collection.mts:5752"
"API","eles.bellmanFord","Implemented","Bellman–Ford shortest paths, which unlike Dijkstra tolerates negative weights and reports negative cycles.","src/collection.mts:5584"
"API","eles.betweennessCentrality","Implemented","Betweenness centrality — how often each node lies on shortest paths between other pairs. Async (round 65): returns a promise, and executor ('cpu' | 'gpu' | 'workers' | 'auto', default 'auto') picks where the Brandes sweep runs. Weighted runs have no GPU path: 'auto' takes the worker pool (round 74; f64-tight to 'cpu', bit-stable across pool sizes) from 128 nodes and an explicit 'gpu' rejects; unweighted runs keep the GPU first, then the pool from 256.","src/collection.mts:5752"
"API","eles.bfs","Implemented","Alias of eles.breadthFirstSearch. Breadth-first search from one or more roots over this collection's subgraph, walking slot-native over the CSR adjacency.","src/collection.mts:5537"
"API","eles.bind","Replaced","Use eles.on(); legacy listener aliases were removed.","MIGRATING.md"
"API","eles.boundingbox","Replaced","Use eles.boundingBox(). The v3 spelling is not public in v4.","MIGRATING.md"
"API","eles.boundingBox","Implemented","The model-space box enclosing every element of the collection.","src/collection.mts:2926"
"API","eles.breadthFirstSearch","Implemented","Breadth-first search from one or more roots over this collection's subgraph, walking slot-native over the CSR adjacency.","src/collection.mts:5537"
"API","eles.cc","Implemented","Alias of eles.closenessCentrality. Closeness centrality of one node — the reciprocal of its summed shortest-path distances to the rest of the collection.","src/collection.mts:5711"
"API","eles.ccn","Implemented","Alias of eles.closenessCentralityNormalized. Closeness centrality for every node, normalized to [0, 1]. Async (round 69): the whole-collection form is the all-pairs tier, so like floydWarshall it returns a promise and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where it runs; 'cpu' is the reproducible reference. Unweighted runs walk a BFS per source, O(n·(n+E)) (round 72.3), on the worker pool too under executor 'workers' (round 74, bit-identical to 'cpu'; under 'auto' a sparse graph takes the pool first from 512 nodes — it measured ahead of the GPU at every size — and a dense one the GPU first); weighted runs relax Floyd–Warshall and have no workers path. The single-root closenessCentrality stays synchronous.","src/collection.mts:5730"
"API","eles.children","Implemented","Direct children of every node, in link order per parent.","src/collection.mts:4512"
"API","eles.classes","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.className","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.classNames","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.clearQueue","Excluded","The animation queue was removed. Disjoint channels run concurrently; use promises to sequence animations.","MIGRATING.md"
"API","eles.clone","Excluded","Removed elements cannot be restored or cloned through this API. Export definitions before removal and add definitions explicitly when needed.","MIGRATING.md"
"API","eles.closedNeighborhood","Implemented","The open neighbourhood plus this collection's own nodes.","src/collection.mts:4422"
"API","eles.closenessCentrality","Implemented","Closeness centrality of one node — the reciprocal of its summed shortest-path distances to the rest of the collection.","src/collection.mts:5711"
"API","eles.closenessCentralityNormalised","Implemented","Alias of eles.closenessCentralityNormalized. Closeness centrality for every node, normalized to [0, 1]. Async (round 69): the whole-collection form is the all-pairs tier, so like floydWarshall it returns a promise and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where it runs; 'cpu' is the reproducible reference. Unweighted runs walk a BFS per source, O(n·(n+E)) (round 72.3), on the worker pool too under executor 'workers' (round 74, bit-identical to 'cpu'; under 'auto' a sparse graph takes the pool first from 512 nodes — it measured ahead of the GPU at every size — and a dense one the GPU first); weighted runs relax Floyd–Warshall and have no workers path. The single-root closenessCentrality stays synchronous.","src/collection.mts:5730"
"API","eles.closenessCentralityNormalized","Implemented","Closeness centrality for every node, normalized to [0, 1]. Async (round 69): the whole-collection form is the all-pairs tier, so like floydWarshall it returns a promise and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where it runs; 'cpu' is the reproducible reference. Unweighted runs walk a BFS per source, O(n·(n+E)) (round 72.3), on the worker pool too under executor 'workers' (round 74, bit-identical to 'cpu'; under 'auto' a sparse graph takes the pool first from 512 nodes — it measured ahead of the GPU at every size — and a dense one the GPU first); weighted runs relax Floyd–Warshall and have no workers path. The single-root closenessCentrality stays synchronous.","src/collection.mts:5730"
"API","eles.codirectedEdges","Implemented","The parallel edges pointing the same way — same source and same target — including each edge itself.","src/collection.mts:4984"
"API","eles.collection","Implemented","An empty collection in the same core.","src/collection.mts:537"
"API","eles.commonAncestors","Implemented","Ancestors common to every element, closest first (an edge in the collection has no ancestors, so it empties the result — v3).","src/collection.mts:4649"
"API","eles.complement","Implemented","Alias of eles.absoluteComplement. All elements of the graph not in this collection.","src/collection.mts:1423"
"API","eles.component","Implemented","The whole-graph connected component containing the first element.","src/collection.mts:5132"
"API","eles.components","Implemented","Connected components within this collection (undirected), each as a collection of the reached nodes plus the collection's edges internal to that component.","src/collection.mts:5035"
"API","eles.componentsOf","Implemented","Alias of eles.components. Connected components within this collection (undirected), each as a collection of the reached nodes plus the collection's edges internal to that component.","src/collection.mts:5035"
"API","eles.connectedEdges","Implemented","Every edge incident on the nodes in this collection, deduped — answered off the CSR adjacency index, so it is O(incident edges) rather than a scan. Loops appear once.","src/collection.mts:4209"
"API","eles.connectedNodes","Implemented","The endpoint nodes of every edge in this collection, deduped.","src/collection.mts:4248"
"API","eles.contains","Implemented","Whether every element of other is also in this collection.","src/collection.mts:1107"
"API","eles.controlPoints","Implemented","The edge's curve control points (model coords): one for a bundled bezier, two for a self-loop, the control list for an unbundled bezier, undefined otherwise — v3's getControlPoints surface (segments/taxi answer segmentPoints() instead).","src/collection.mts:3415"
"API","eles.copy","Excluded","Removed elements cannot be restored or cloned through this API. Export definitions before removal and add definitions explicitly when needed.","MIGRATING.md"
"API","eles.createLayout","Implemented","Alias of eles.layout. A layout scoped to this collection.","src/collection.mts:5518"
"API","eles.css","Implemented","Alias of eles.style. Read resolved properties or set constant id-keyed bypasses. Bypasses export with the stylesheet and are replaced on a full sheet swap; mappers belong in the sheet.","src/collection.mts:2557"
"API","eles.cy","Implemented","The core this collection belongs to.","src/collection.mts:498"
"API","eles.data","Implemented","data() over the sidecar columns. id (and source/target on edges) are first-class and immutable — reading them works, writing them throws. Setters apply to every element in the collection and emit data per element; a write refreshes data-mapped labels. The whole-object read returns a built snapshot, not the store's internals — and the same snapshot until a data write (or a reparent/re-point) invalidates it, so mutating it never corrupts the store but is visible to the mutator until the next write (v3 hands out its live internal object here, where mutation corrupts the actual store — v4's exposure is strictly narrower).","src/collection.mts:2275"
"API","eles.dc","Implemented","Alias of eles.degreeCentrality. Degree centrality of one node relative to the collection.","src/collection.mts:5682"
"API","eles.dcn","Implemented","Alias of eles.degreeCentralityNormalized. Degree centrality for every node, normalized to [0, 1].","src/collection.mts:5695"
"API","eles.degree","Implemented","The first element's total degree, in + out, answered in O(1) off the adjacency index.","src/collection.mts:6096"
"API","eles.degreeCentrality","Implemented","Degree centrality of one node relative to the collection.","src/collection.mts:5682"
"API","eles.degreeCentralityNormalised","Implemented","Alias of eles.degreeCentralityNormalized. Degree centrality for every node, normalized to [0, 1].","src/collection.mts:5695"
"API","eles.degreeCentralityNormalized","Implemented","Degree centrality for every node, normalized to [0, 1].","src/collection.mts:5695"
"API","eles.delay","Implemented","A no-op tween — a timed pause that touches no channels, so it composes with any running animation (round 21: use delayAnimation().play() + await to sequence).","src/collection.mts:1726"
"API","eles.delayAnimation","Implemented","Like delay, but returns the handle instead of chaining.","src/collection.mts:1737"
"API","eles.depthFirstSearch","Implemented","Depth-first search from one or more roots. Same options as breadthFirstSearch.","src/collection.mts:5548"
"API","eles.descendants","Implemented","The subtree below every node in pre-order, excluding the nodes themselves.","src/collection.mts:4544"
"API","eles.deselect","Implemented","Alias of eles.unselect. Deselect every element, emitting unselect for each one that changed.","src/collection.mts:3612"
"API","eles.dfs","Implemented","Alias of eles.depthFirstSearch. Depth-first search from one or more roots. Same options as breadthFirstSearch.","src/collection.mts:5548"
"API","eles.diff","Implemented","Three-way set difference against another collection.","src/collection.mts:1436"
"API","eles.difference","Implemented","This collection's elements that are not in other.","src/collection.mts:1208"
"API","eles.dijkstra","Implemented","Dijkstra shortest paths from a root over non-negative weights.","src/collection.mts:5562"
"API","eles.each","Implemented","Alias of eles.forEach. Call fn for each element. Returning false from the callback stops the iteration early, as in v3.","src/collection.mts:691"
"API","eles.edges","Implemented","The edges in this collection, optionally filtered.","src/collection.mts:1384"
"API","eles.edgesTo","Implemented","The edges running from this collection's nodes to others — edgesWith() restricted by direction.","src/collection.mts:4923"
"API","eles.edgesWith","Implemented","The edges connecting this collection's nodes with others, in either direction.","src/collection.mts:4910"
"API","eles.effectiveOpacity","Implemented","The rendered opacity: a node's own opacity times its ancestors' (v3's product rule — the store keeps the folded value in the column, round 14.4); an edge's own opacity (edges have no parent).","src/collection.mts:2724"
"API","eles.effectiveResistance","Implemented","Effective resistance and commute time — the graph as a resistor network (weights are conductances): resistance(a, b) from the Laplacian pseudo-inverse, commuteTime(a, b) the expected round-trip steps of the random walk (component volume × resistance). Pairs in different components answer Infinity. Async (round 70): executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks between dense f64 elimination on the CPU and Newton–Schulz matmul iteration on the GPU; both are O(n³), so 'auto' takes the GPU on size alone. v4-only — v3 has no counterpart.","src/collection.mts:5941"
"API","eles.emit","Implemented","Emit an event on each element, bubbling through compound ancestors to the core.","src/collection.mts:6349"
"API","eles.empty","Implemented","Whether the collection holds no elements.","src/collection.mts:645"
"API","eles.eq","Implemented","The element at an index, as a length-1 collection.","src/collection.mts:792"
"API","eles.equal","Implemented","Alias of eles.same. Whether both collections hold exactly the same elements, ignoring order.","src/collection.mts:1054"
"API","eles.equals","Implemented","Alias of eles.same. Whether both collections hold exactly the same elements, ignoring order.","src/collection.mts:1054"
"API","eles.every","Implemented","Whether every element satisfies the predicate. Short-circuits, and is vacuously true for an empty collection.","src/collection.mts:874"
"API","eles.fcm","Implemented","Alias of eles.fuzzyCMeans. Fuzzy c-means clustering: each element gets a degree of membership in every cluster rather than one hard assignment. Async, with the same executor contract as kMeans.","src/collection.mts:6011"
"API","eles.filter","Implemented","The subset matching the criterion.","src/collection.mts:1281"
"API","eles.first","Implemented","The first element, as a length-1 collection.","src/collection.mts:801"
"API","eles.flashClass","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.floydWarshall","Implemented","Floyd–Warshall all-pairs shortest paths. O(n³) — for a single source prefer dijkstra/bellmanFord. Async (round 65): the expensive whole-graph tier returns promises, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the maths runs; 'cpu' is the reproducible reference.","src/collection.mts:5600"
"API","eles.forEach","Implemented","Call fn for each element. Returning false from the callback stops the iteration early, as in v3.","src/collection.mts:691"
"API","eles.fuzzyCMeans","Implemented","Fuzzy c-means clustering: each element gets a degree of membership in every cluster rather than one hard assignment. Async, with the same executor contract as kMeans.","src/collection.mts:6011"
"API","eles.getElementById","Implemented","Find a member by id. This is a linear scan of the collection; use cy.$id( id ) for the O(1) whole-graph index.","src/collection.mts:1399"
"API","eles.grabbable","Implemented","Pannable elements are not draggable, so pannable overrides grabbable (as in v3).","src/collection.mts:3647"
"API","eles.grabbed","Implemented","Whether the first element is currently held by a drag gesture.","src/collection.mts:3656"
"API","eles.grabify","Implemented","Make these elements grabbable.","src/collection.mts:3665"
"API","eles.group","Implemented","The first element's group. Cached on the handle, so it stays readable after removal.","src/collection.mts:907"
"API","eles.has","Implemented","Alias of eles.contains. Whether every element of other is also in this collection.","src/collection.mts:1107"
"API","eles.hasClass","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.hasElementWithId","Implemented","Whether this collection contains an element with the given id.","src/collection.mts:558"
"API","eles.hca","Implemented","Alias of eles.hierarchicalClustering. Agglomerative hierarchical clustering. Async (round 65): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the distance matrix is built; the merge chain itself is sequential and always runs on the CPU.","src/collection.mts:6029"
"API","eles.heatDiffusion","Implemented","Heat diffusion from a seeds collection: unit heat spread over the seeds flows along edges for time, through the kernel exp(−t·L) of the weighted Laplacian. Total heat is conserved under the default laplacian: 'combinatorial'; 'normalized' (round 72.4) diffuses over I − D^-½AD^-½ at the price of conservation. Async (round 70); the vector form is O(E) per series term on the CPU, so there is no GPU path — an explicit executor: 'gpu' rejects and points at heatKernel. Edges are read undirected with positive weights. v4-only — v3 has no counterpart.","src/collection.mts:5902"
"API","eles.heatKernel","Implemented","The all-pairs heat kernel exp(−t·L) — heat(from, to) is the heat at to after unit heat starts at from (symmetric). Async (round 70): executor ('cpu' | 'gpu' | 'workers' | 'auto', default 'auto') picks between per-column sparse series on the CPU, the same columns over the worker pool (round 74, bit-identical to 'cpu') and the dense scaling-and-squaring chain on the GPU — under 'auto' the GPU from 256 nodes at any density (round 72.6), else the pool from 256. laplacian ('combinatorial' | 'normalized', round 72.4) picks L = D − A or I − D^-½AD^-½. All-pairs (O(n²) memory). v4-only — v3 has no counterpart.","src/collection.mts:5920"
"API","eles.height","Implemented","The first element's height — a node's model-space height, or an edge's stroke width (as in v3, where an edge's height is its width).","src/collection.mts:2226"
"API","eles.hidden","Implemented","The complement of visible().","src/collection.mts:3707"
"API","eles.hide","Implemented","Hide these elements structurally — v3's display: none. They stop drawing and picking, leave the bounding box and their ancestors' auto-bounds, and their bezier bundles re-fan without them. Descendants of a hidden node are gated too.","src/collection.mts:3738"
"API","eles.hierarchicalClustering","Implemented","Agglomerative hierarchical clustering. Async (round 65): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the distance matrix is built; the merge chain itself is sequential and always runs on the CPU.","src/collection.mts:6029"
"API","eles.hierholzer","Implemented","Hierholzer's Eulerian path/circuit.","src/collection.mts:5647"
"API","eles.hopcroftTarjanBiconnected","Implemented","Hopcroft–Tarjan biconnected components and articulation points.","src/collection.mts:5633"
"API","eles.hopcroftTarjanBiconnectedComponents","Implemented","Alias of eles.hopcroftTarjanBiconnected. Hopcroft–Tarjan biconnected components and articulation points.","src/collection.mts:5633"
"API","eles.htb","Implemented","Alias of eles.hopcroftTarjanBiconnected. Hopcroft–Tarjan biconnected components and articulation points.","src/collection.mts:5633"
"API","eles.htbc","Implemented","Alias of eles.hopcroftTarjanBiconnected. Hopcroft–Tarjan biconnected components and articulation points.","src/collection.mts:5633"
"API","eles.id","Implemented","The first element's id. Cached on the handle, so it stays readable after the element is removed.","src/collection.mts:897"
"API","eles.incomers","Implemented","The immediate incoming neighbourhood: the edges arriving at these nodes plus the nodes they come from. One hop only — use predecessors() for the transitive closure.","src/collection.mts:4303"
"API","eles.indegree","Implemented","The first element's in-degree, in O(1). Singular, like degree().","src/collection.mts:6123"
"API","eles.indexOf","Implemented","Index of an element within this collection.","src/collection.mts:570"
"API","eles.indexOfId","Implemented","Position of the element with this id within the collection.","src/collection.mts:600"
"API","eles.inside","Implemented","Whether the first element is still in the graph — the complement of removed().","src/collection.mts:1039"
"API","eles.interactive","Implemented","Whether the element can be interacted with: visible and not pointer-transparent (events: 'no' — round 20.2).","src/collection.mts:2779"
"API","eles.intersect","Implemented","Alias of eles.intersection. The elements present in both collections.","src/collection.mts:1229"
"API","eles.intersection","Implemented","The elements present in both collections.","src/collection.mts:1229"
"API","eles.is","Implemented","Whether any element matches the criterion.","src/collection.mts:1173"
"API","eles.isChild","Implemented","Whether the first element is a node with a parent.","src/collection.mts:4723"
"API","eles.isChildless","Implemented","Whether the first element is a node with no children.","src/collection.mts:4710"
"API","eles.isEdge","Implemented","Whether the first element is an edge.","src/collection.mts:981"
"API","eles.isLoop","Implemented","Whether the first element is a self-loop — an edge whose source and target are the same node.","src/collection.mts:991"
"API","eles.isNode","Implemented","Whether the first element is a node.","src/collection.mts:972"
"API","eles.isOrphan","Implemented","Whether the first element is a node without a parent.","src/collection.mts:4737"
"API","eles.isParent","Implemented","Whether the first element is a node with at least one child.","src/collection.mts:4694"
"API","eles.isSimple","Implemented","Whether the first element is a non-loop edge.","src/collection.mts:1000"
